id,name,photo,product_count
1,Овочі,c_01.jpg,1185
2,Зелень,c_02.jpg,97
3,Квіти,c_03.jpg,1
4,Трави,c_04.jpg,0
5,Фрукти,c_05.jpg,1
6,Ягоди,c_06.jpg,0
7,Гриби,c_07.jpg,0
8,Зернові,c_08.jpg,0
9,Бобові,c_09.jpg,6
10,Прянощі,c_10.jpg,0
