id,pid,product_id,top_availability,variant_id,title_ua,title_ru,original_price,sale_price,currency,stock_qty,value,unit,type,values_json,availability
1,1,p100001,,P100001-1P,Маленький пакет,Маленький  пакет,10.0,,UAH,0,1.0,pcs,quantity,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",
2,329,p170329,,P170329-20P,Великий пакет,Большой  пакет,10.0,,UAH,0,20.0,pcs,,"[20, 25, 30, 35, 40, 45, 50, 60, 70, 80, 90, 100]",
3,329,p170329,,P170329-20P,Великий пакет,Большой  пакет,10.0,,UAH,0,20.0,pcs,,"[20, 25, 30, 35, 40, 45, 50, 60, 70, 80, 90, 100]",
