id,name,photo,product_count,type,parent_id
1,Овочі,c_01.jpg,243,main,
2,Зелень,c_02.jpg,172,main,
3,Квіти,c_03.jpg,1,main,
4,Трави,c_04.jpg,5,main,
401,Капуста,c_401.jpg,1,subcategory,4
